其他地区,#genre#
CCTV-5体育,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv5/HD-8000k-1080P-cctv5#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228849/index.m3u8#http://cctv5ksh5ca.v.kcdnvip.com/live/cctv5_2/index.m3u8#http://dbiptv.sn.chinamobile.com/pltv/88888890/224/3221226395/index.m3u8#http://223.110.245.141/ott.js.chinamobile.com/PLTV/3/224/3221227298/index.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226400/index.m3u8
CCTV-6电影,http://183.207.248.71:80/cntv/live1/cctv-6/cctv-6#http://112.17.40.140/PLTV/88888888/224/3221226433/index.m3u8#http://cctv5ksh5ca.v.kcdnvip.com/live/cctv6_2/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8#http://223.110.245.158/ott.js.chinamobile.com/PLTV/3/224/3221227301/index.m3u8#http://125.210.152.18:9090/live/CCTV6HD_H265.m3u8
CCTV-8电视剧,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv8/HD-8000k-1080P-cctv8#http://112.17.40.140/PLTV/88888888/224/3221226330/index.m3u8#http://cctv5ksh5ca.v.kcdnvip.com/live/cctv8_2/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8#http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227304/index.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226493/index.m3u8
CCTV-13新闻,http://183.207.248.71:80/cntv/live1/cctv-13/cctv-13#http://112.17.40.140/PLTV/88888888/224/3221226193/index.m3u8#http://cctv5ksh5ca.v.kcdnvip.com/live/cctv13_2/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv13.m3u8#http://223.110.243.154/ott.js.chinamobile.com/PLTV/3/224/3221227601/index.m3u8
CCTV-15音乐,http://183.207.248.71:80/cntv/live1/n-cctv-15/n-cctv-15#http://cctv5ksh5ca.v.kcdnvip.com/live/cctv15_2/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv15.m3u8#http://223.110.243.152/ott.js.chinamobile.com/PLTV/3/224/3221227538/index.m3u8
湖南卫视,http://183.207.248.71:80/cntv/live1/hunanstv/hunanstv#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228852/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226553/index.m3u8#http://ivi.bupt.edu.cn/hls/hunantv.m3u8#http://223.110.245.156/ott.js.chinamobile.com/PLTV/3/224/3221227320/index.m3u8#http://223.82.250.72/live/hdhunanstv/1.m3u8
江苏卫视,http://183.207.248.71:80/cntv/live1/HD-2500k-1080P-jiangsustv/HD-2500k-1080P-jiangsustv#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228032/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226140/index.m3u8#http://ivi.bupt.edu.cn/hls/jstv.m3u8#http://223.110.245.156/ott.js.chinamobile.com/PLTV/3/224/3221227255/index.m3u8#http://223.82.250.72/live/hdjiangsustv/1.m3u8
浙江卫视,http://183.207.248.71:80/cntv/live1/zhejiangstv/zhejiangstv#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229352/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226474/index.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226474/index.m3u8#http://223.110.245.158/ott.js.chinamobile.com/PLTV/3/224/3221227393/index.m3u8
东方卫视,http://183.207.248.71:80/cntv/live1/n-dongfangstv/n-dongfangstv#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229092/index.m3u8#http://223.82.250.72/live/hddongfangstv/1.m3u8#http://ivi.bupt.edu.cn/hls/dftv.m3u8#http://223.110.245.158/ott.js.chinamobile.com/PLTV/3/224/3221227396/index.m3u8
五星体育,http://183.207.255.188/live/program/live/ssty/4000000/mnf.m3u8#http://39.135.248.141/huaweicdn.hb.chinamobile.com/PLTV/2510088/224/3221225964/3.m3u8#http://112.25.48.14/live/program/live/ssty/4000000/mnf.m3u8#http://183.207.255.197/live/program/live/ssty/4000000/mnf.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226582/index.m3u8
